scenario,seed,horizon,fpr_s1_th,detected_s1_th,delay_s1_th,fpr_s1_cu,detected_s1_cu,delay_s1_cu,fpr_ewma,detected_ewma,delay_ewma,fpr_s2_th,detected_s2_th,delay_s2_th,fpr_s2_cu,detected_s2_cu,delay_s2_cu,fpr_fuse,detected_fuse,delay_fuse
A4_coordinated,54,12h,0.0,True,111.0,0.0,True,2.0,0.0,True,45.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,55,12h,0.0,True,81.0,0.0,True,2.0,0.0,True,19.0,0.0,True,0.0,0.06666666666666667,True,0.0,0.06666666666666667,True,0.0
A4_coordinated,56,12h,0.0,True,16.0,0.0,True,1.0,0.0,True,42.0,0.0,True,0.0,0.016666666666666666,True,0.0,0.016666666666666666,True,0.0
A4_coordinated,57,12h,0.0,False,,0.0,True,1.0,0.0,True,25.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,58,12h,0.0,False,,0.0,True,2.0,0.0,True,16.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,59,12h,0.0,True,58.0,0.0,True,1.0,0.0,True,29.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A4_coordinated,60,12h,0.0,True,38.0,0.0,True,1.0,0.0,True,23.0,0.0,True,0.0,0.005555555555555556,True,0.0,0.005555555555555556,True,0.0
A4_coordinated,61,12h,0.0,True,13.0,0.0,True,1.0,0.0,True,20.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,42,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,43,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.011111111111111112,True,0.0,0.011111111111111112,True,0.0
A5_stealth_consistent,44,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,45,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,46,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.005555555555555556,True,0.0,0.005555555555555556,True,0.0
A5_stealth_consistent,47,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,48,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.05,True,0.0,0.05,True,0.0
A5_stealth_consistent,49,12h,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,50,12h,0.0,False,,0.0,True,0.0,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,51,12h,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,52,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,53,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,54,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,55,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.06666666666666667,True,0.0,0.06666666666666667,True,0.0
A5_stealth_consistent,56,12h,0.0,True,0.0,0.0,True,0.0,0.0,False,,0.0,True,0.0,0.016666666666666666,True,0.0,0.016666666666666666,True,0.0
A5_stealth_consistent,57,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,58,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,59,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0
A5_stealth_consistent,60,12h,0.0,False,,0.0,False,,0.0,False,,0.0,True,0.0,0.005555555555555556,True,0.0,0.005555555555555556,True,0.0
