capacity_scale,eta_scale,seed,detected_cusum,delay_cusum,benign_fpr_cusum,benign_fpr_threshold,benign_fpr_ewma
1.05,0.95,42,True,3.0,0.0,0.0,0.0
1.05,0.95,43,True,3.0,0.0,0.0,0.0
1.05,0.95,44,True,3.0,0.0,0.0,0.0
1.05,0.95,45,True,3.0,0.0,0.0,0.0
1.05,0.95,46,True,3.0,0.0,0.0,0.0
1.05,0.95,47,True,2.0,0.0,0.0,0.0
1.05,0.95,48,True,3.0,0.0,0.0,0.0
1.05,0.95,49,True,3.0,0.0,0.0,0.0
1.05,0.95,50,True,3.0,0.0,0.0,0.0
1.05,0.95,51,True,3.0,0.0,0.0,0.0
1.05,1.0,42,True,3.0,0.0,0.0,0.0
1.05,1.0,43,True,3.0,0.0,0.0,0.0
1.05,1.0,44,True,3.0,0.0,0.0,0.0
1.05,1.0,45,True,3.0,0.0,0.0,0.0
1.05,1.0,46,True,3.0,0.0,0.0,0.0
1.05,1.0,47,True,2.0,0.0,0.0,0.0
1.05,1.0,48,True,3.0,0.0,0.0,0.0
1.05,1.0,49,True,3.0,0.0,0.0,0.0
1.05,1.0,50,True,3.0,0.0,0.0,0.0
1.05,1.0,51,True,3.0,0.0,0.0,0.0
1.05,1.05,42,True,3.0,0.0,0.0,0.0
1.05,1.05,43,True,3.0,0.0,0.0,0.0
1.05,1.05,44,True,3.0,0.0,0.0,0.0
1.05,1.05,45,True,3.0,0.0,0.0,0.0
1.05,1.05,46,True,3.0,0.0,0.0,0.0
1.05,1.05,47,True,2.0,0.0,0.0,0.0
1.05,1.05,48,True,3.0,0.0,0.0,0.0
1.05,1.05,49,True,3.0,0.0,0.0,0.0
1.05,1.05,50,True,3.0,0.0,0.0,0.0
1.05,1.05,51,True,3.0,0.0,0.0,0.0
1.1,0.95,42,True,3.0,0.08194444444444444,0.0,0.0
1.1,0.95,43,True,3.0,0.07916666666666666,0.0,0.0
1.1,0.95,44,True,3.0,0.0875,0.0,0.0
1.1,0.95,45,True,3.0,0.07777777777777778,0.0,0.0
1.1,0.95,46,True,3.0,0.08472222222222223,0.0,0.0
1.1,0.95,47,True,2.0,0.08333333333333333,0.0,0.0
1.1,0.95,48,True,3.0,0.08333333333333333,0.0,0.0
1.1,0.95,49,True,3.0,0.10277777777777777,0.0,0.0
1.1,0.95,50,True,3.0,0.0875,0.0,0.0
1.1,0.95,51,True,3.0,0.075,0.0,0.0
1.1,1.0,42,True,3.0,0.0,0.0,0.0
1.1,1.0,43,True,3.0,0.0,0.0,0.0
1.1,1.0,44,True,3.0,0.0,0.0,0.0
1.1,1.0,45,True,3.0,0.0,0.0,0.0
1.1,1.0,46,True,3.0,0.0,0.0,0.0
1.1,1.0,47,True,2.0,0.0,0.0,0.0
1.1,1.0,48,True,3.0,0.0,0.0,0.0
1.1,1.0,49,True,3.0,0.0,0.0,0.0
1.1,1.0,50,True,3.0,0.0,0.0,0.0
1.1,1.0,51,True,3.0,0.0,0.0,0.0
1.1,1.05,42,True,3.0,0.0,0.0,0.0
1.1,1.05,43,True,3.0,0.0,0.0,0.0
1.1,1.05,44,True,3.0,0.0,0.0,0.0
1.1,1.05,45,True,3.0,0.0,0.0,0.0
1.1,1.05,46,True,3.0,0.0,0.0,0.0
1.1,1.05,47,True,2.0,0.0,0.0,0.0
1.1,1.05,48,True,3.0,0.0,0.0,0.0
1.1,1.05,49,True,3.0,0.0,0.0,0.0
1.1,1.05,50,True,3.0,0.0,0.0,0.0
1.1,1.05,51,True,3.0,0.0,0.0,0.0
